,type
612925.cif,1
672784.cif,1
673060.cif,0
630648.cif,1
246060.cif,0
646930.cif,1
79971.cif,1
24520.cif,1
2104.cif,0
658221.cif,1
240965.cif,0
74557.cif,0
98409.cif,1
613864.cif,1
35424.cif,1
428357.cif,0
76251.cif,1
615368.cif,1
151316.cif,0
639980.cif,1
57769.cif,1
162582.cif,1
25310.cif,1
184576.cif,1
60261.cif,0
54137.cif,0
670099.cif,1
601559.cif,1
416472.cif,1
634454.cif,1
27661.cif,1
60491.cif,0
39499.cif,0
418857.cif,1
201396.cif,1
263432.cif,0
84619.cif,1
611007.cif,1
73104.cif,0
76494.cif,1
130022.cif,0
165108.cif,0
96544.cif,1
26405.cif,0
257663.cif,1
59000.cif,0
418456.cif,1
257758.cif,1
240374.cif,0
622874.cif,1
621054.cif,1
252861.cif,0
264218.cif,0
4047.cif,0
2141.cif,1
3027.cif,0
151521.cif,0
391223.cif,0
37207.cif,0
608951.cif,1
674733.cif,1
644843.cif,1
259248.cif,0
88843.cif,0
76842.cif,1
160815.cif,1
76996.cif,1
188181.cif,1
422034.cif,0
609039.cif,1
643768.cif,1
50293.cif,0
646317.cif,1
85935.cif,1
673400.cif,1
77710.cif,0
614690.cif,1
411009.cif,1
427286.cif,1
431958.cif,0
634554.cif,1
430298.cif,1
188846.cif,0
50217.cif,0
195536.cif,1
171.cif,0
673727.cif,1
433804.cif,0
629909.cif,1
28411.cif,0
79985.cif,0
428096.cif,1
87254.cif,1
246796.cif,0
54949.cif,1
110766.cif,0
610382.cif,1
419830.cif,0
89570.cif,0
648942.cif,1
22207.cif,1
422060.cif,1
236262.cif,1
152600.cif,1
262323.cif,0
79880.cif,1
108131.cif,1
83843.cif,0
47162.cif,1
91568.cif,0
76762.cif,0
90927.cif,0
80571.cif,1
186212.cif,0
248226.cif,0
240998.cif,1
424346.cif,0
79615.cif,0
195455.cif,0
201526.cif,0
290494.cif,1
167624.cif,1
72506.cif,1
419157.cif,0
61323.cif,1
405112.cif,1
192108.cif,0
94137.cif,0
6267.cif,0
94743.cif,0
43856.cif,1
651197.cif,1
107209.cif,1
601367.cif,1
16249.cif,1
421842.cif,1
44425.cif,1
636072.cif,1
23137.cif,0
615588.cif,1
609650.cif,1
90199.cif,1
408314.cif,1
43680.cif,1
281543.cif,0
651733.cif,1
80559.cif,0
40764.cif,1
676158.cif,1
418408.cif,1
72468.cif,0
2530.cif,1
65946.cif,0
613275.cif,1
243717.cif,0
167658.cif,1
637069.cif,1
65301.cif,0
429072.cif,0
645735.cif,1
92840.cif,0
78770.cif,0
84827.cif,1
423230.cif,1
54512.cif,0
639896.cif,1
99544.cif,0
673700.cif,1
263724.cif,1
601028.cif,1
15371.cif,0
255717.cif,0
600550.cif,1
79892.cif,0
710000.cif,0
150830.cif,1
425876.cif,0
265180.cif,0
68365.cif,0
16537.cif,1
261469.cif,0
72676.cif,0
264635.cif,0
73133.cif,0
192816.cif,1
610651.cif,1
255117.cif,0
237719.cif,0
24423.cif,0
50167.cif,0
647867.cif,1
428115.cif,1
237533.cif,0
391355.cif,0
613345.cif,1
426405.cif,1
75460.cif,0
76848.cif,1
424308.cif,0
423963.cif,0
185573.cif,1
610353.cif,1
407041.cif,0
430860.cif,0
167186.cif,0
429608.cif,0
165558.cif,0
57985.cif,1
418009.cif,1
640953.cif,1
172831.cif,1
246170.cif,1
419178.cif,0
261144.cif,0
87502.cif,1
671321.cif,1
430854.cif,0
245435.cif,0
163609.cif,0
246005.cif,0
81899.cif,1
155827.cif,1
418979.cif,0
51317.cif,0
193181.cif,0
290133.cif,0
613230.cif,1
415953.cif,1
420058.cif,0
603500.cif,1
674083.cif,0
96665.cif,0
670787.cif,1
636578.cif,1
420433.cif,0
423681.cif,0
9265.cif,0
85852.cif,1
300163.cif,0
200095.cif,0
89510.cif,0
24131.cif,0
10028.cif,1
108423.cif,1
657157.cif,1
20451.cif,1
412334.cif,0
35101.cif,0
39004.cif,0
416155.cif,1
254514.cif,0
26521.cif,1
414022.cif,1
248201.cif,0
68029.cif,1
1024.cif,1
405715.cif,0
652659.cif,1
614702.cif,1
26902.cif,1
262208.cif,0
152569.cif,1
638759.cif,1
107517.cif,1
670921.cif,1
243760.cif,0
41548.cif,1
62900.cif,1
617952.cif,1
200146.cif,0
191613.cif,1
41493.cif,0
104808.cif,1
6134.cif,0
102035.cif,1
237518.cif,0
425601.cif,1
15463.cif,0
281247.cif,1
4438.cif,1
255348.cif,0
433020.cif,1
56089.cif,0
675804.cif,1
657285.cif,1
658286.cif,1
250760.cif,1
245903.cif,0
413464.cif,1
673007.cif,1
25750.cif,0
407546.cif,1
64710.cif,0
280080.cif,0
78878.cif,0
257693.cif,1
50599.cif,0
676190.cif,1
20097.cif,0
404224.cif,1
54572.cif,1
260213.cif,1
95101.cif,1
670796.cif,1
671067.cif,1
670546.cif,0
10389.cif,0
83840.cif,0
162423.cif,0
658294.cif,1
88113.cif,1
107216.cif,1
625310.cif,1
171343.cif,0
410841.cif,1
415529.cif,1
21061.cif,0
24108.cif,1
152802.cif,1
93906.cif,1
370027.cif,1
672313.cif,1
243671.cif,0
99951.cif,0
630547.cif,1
28118.cif,0
416615.cif,0
191099.cif,1
673493.cif,1
600631.cif,1
196446.cif,1
238677.cif,0
419469.cif,0
264140.cif,1
20829.cif,0
658747.cif,1
265264.cif,0
652386.cif,1
625833.cif,1
55615.cif,1
65687.cif,0
639337.cif,1
35398.cif,0
91836.cif,0
420711.cif,0
416900.cif,1
58558.cif,1
3245.cif,0
851.cif,0
281503.cif,0
63218.cif,0
256144.cif,0
26536.cif,0
676233.cif,1
605055.cif,1
639205.cif,1
246788.cif,0
158483.cif,0
54144.cif,0
59908.cif,1
24213.cif,1
281208.cif,0
3210.cif,0
649284.cif,1
425785.cif,0
183313.cif,1
27668.cif,1
645375.cif,1
264409.cif,0
28658.cif,1
60072.cif,1
415871.cif,1
251064.cif,1
50328.cif,0
58143.cif,1
643877.cif,1
41836.cif,1
609849.cif,1
24383.cif,0
637537.cif,1
253036.cif,0
60856.cif,1
71933.cif,0
73608.cif,0
96911.cif,0
256232.cif,0
155114.cif,1
79529.cif,0
150347.cif,1
672270.cif,1
106979.cif,1
605849.cif,1
261189.cif,0
611766.cif,1
421528.cif,0
411561.cif,0
65209.cif,0
671081.cif,1
2269.cif,0
189075.cif,1
2763.cif,0
3153.cif,0
104154.cif,1
425401.cif,1
412912.cif,1
84844.cif,0
656436.cif,1
428975.cif,0
260211.cif,0
671375.cif,1
20482.cif,0
187720.cif,1
237615.cif,0
609815.cif,1
16617.cif,0
244467.cif,0
433290.cif,0
82616.cif,0
241250.cif,0
165101.cif,1
637164.cif,1
24921.cif,0
615021.cif,1
411028.cif,0
200417.cif,0
252308.cif,1
151254.cif,0
16275.cif,0
110700.cif,1
32518.cif,0
673835.cif,1
172988.cif,0
670074.cif,1
427107.cif,1
624716.cif,1
402910.cif,0
674060.cif,1
174218.cif,0
62488.cif,0
51491.cif,1
31999.cif,1
613687.cif,1
187477.cif,1
71440.cif,1
76249.cif,1
89530.cif,0
73.cif,0
380105.cif,0
170731.cif,0
162078.cif,0
88116.cif,1
166483.cif,1
616286.cif,1
58504.cif,1
87199.cif,1
152800.cif,1
165202.cif,0
256242.cif,0
110450.cif,0
240239.cif,0
622979.cif,1
28641.cif,1
417643.cif,0
256280.cif,0
99179.cif,1
676069.cif,0
425837.cif,1
73339.cif,1
195089.cif,0
650391.cif,1
173724.cif,0
61783.cif,0
65829.cif,0
625455.cif,1
63357.cif,0
188659.cif,0
646150.cif,1
36604.cif,0
410871.cif,0
88829.cif,0
36399.cif,0
38134.cif,0
89588.cif,0
83628.cif,1
264935.cif,0
240988.cif,0
108806.cif,0
608488.cif,1
610521.cif,1
56240.cif,1
69864.cif,0
41026.cif,1
671726.cif,1
66257.cif,0
2812.cif,0
171446.cif,0
236287.cif,1
184032.cif,1
36040.cif,0
87634.cif,0
603426.cif,1
265368.cif,0
94879.cif,1
639824.cif,1
237980.cif,0
433266.cif,1
104563.cif,1
249719.cif,0
658467.cif,1
419084.cif,1
99216.cif,1
9873.cif,0
409892.cif,1
408100.cif,0
674597.cif,1
250415.cif,0
412770.cif,0
431320.cif,0
77233.cif,1
18187.cif,0
195078.cif,1
671595.cif,1
23044.cif,1
52678.cif,1
427260.cif,0
263672.cif,1
240371.cif,0
261441.cif,1
41794.cif,1
242279.cif,0
602487.cif,1
425587.cif,0
418050.cif,1
630638.cif,1
261696.cif,1
152006.cif,0
73084.cif,0
50492.cif,0
186500.cif,1
634132.cif,1
15188.cif,1
429177.cif,1
68979.cif,0
52066.cif,1
106110.cif,1
194450.cif,0
264587.cif,0
422160.cif,0
671738.cif,1
409597.cif,0
73239.cif,0
54253.cif,1
613090.cif,1
604081.cif,1
188417.cif,0
60621.cif,0
400104.cif,1
621127.cif,0
54341.cif,1
36173.cif,0
671954.cif,0
100269.cif,0
43285.cif,1
109191.cif,0
57935.cif,1
29216.cif,0
281621.cif,0
674514.cif,0
414545.cif,0
646289.cif,1
58656.cif,1
24636.cif,0
104255.cif,1
606457.cif,1
61141.cif,1
174065.cif,0
412430.cif,1
419343.cif,1
657248.cif,1
167990.cif,1
191617.cif,0
238300.cif,1
646055.cif,1
110503.cif,0
77882.cif,1
74878.cif,0
261753.cif,1
107095.cif,1
57079.cif,1
645993.cif,1
92056.cif,0
180204.cif,0
634485.cif,1
20545.cif,1
423061.cif,0
430858.cif,0
2743.cif,1
639209.cif,1
656296.cif,1
417480.cif,0
638909.cif,1
608324.cif,0
163102.cif,0
413432.cif,0
78532.cif,0
104692.cif,1
42537.cif,1
673022.cif,1
603995.cif,1
673906.cif,1
59225.cif,1
623923.cif,1
196429.cif,0
86435.cif,0
191682.cif,1
670865.cif,1
670168.cif,1
613407.cif,1
198140.cif,0
105859.cif,1
87771.cif,0
97507.cif,0
647932.cif,1
240875.cif,0
33234.cif,1
76673.cif,1
65250.cif,0
413276.cif,1
26829.cif,0
107617.cif,1
32602.cif,0
60949.cif,0
671956.cif,0
673629.cif,1
672447.cif,1
406782.cif,0
408840.cif,0
623281.cif,1
86194.cif,1
643539.cif,1
25611.cif,0
625259.cif,1
65811.cif,0
80876.cif,1
85180.cif,1
614388.cif,1
673577.cif,0
652685.cif,1
74502.cif,0
262397.cif,0
104935.cif,1
198571.cif,1
673799.cif,1
40688.cif,1
155806.cif,0
408654.cif,0
606083.cif,1
35383.cif,1
29256.cif,1
641241.cif,1
614401.cif,1
414492.cif,0
74003.cif,0
26010.cif,0
48189.cif,0
427130.cif,1
9509.cif,1
653457.cif,1
672031.cif,1
72269.cif,1
657932.cif,1
183316.cif,1
657938.cif,1
167550.cif,0
643689.cif,1
629729.cif,1
636254.cif,1
645651.cif,1
104458.cif,1
428885.cif,1
645788.cif,1
194474.cif,0
110409.cif,0
782622.cif,0
670366.cif,1
93703.cif,1
626847.cif,1
59187.cif,1
104033.cif,1
634723.cif,1
26138.cif,1
103438.cif,1
51239.cif,0
630371.cif,1
611505.cif,1
85505.cif,0
614621.cif,1
105961.cif,1
105816.cif,1
260832.cif,0
623565.cif,1
28667.cif,0
156954.cif,1
253039.cif,0
94263.cif,1
657401.cif,1
425141.cif,1
417644.cif,0
82856.cif,0
2422.cif,1
265698.cif,0
72770.cif,0
27641.cif,1
66820.cif,0
428187.cif,0
164845.cif,1
614566.cif,1
98942.cif,0
244244.cif,0
4061.cif,1
613675.cif,1
77978.cif,1
409377.cif,1
39384.cif,0
608248.cif,1
4307.cif,0
202623.cif,0
419504.cif,0
170128.cif,1
87633.cif,0
183321.cif,1
263456.cif,1
187379.cif,0
416880.cif,0
74571.cif,0
260891.cif,0
609061.cif,1
90559.cif,0
83581.cif,0
431731.cif,0
71840.cif,0
99104.cif,1
641097.cif,1
614563.cif,1
432329.cif,0
27799.cif,0
34682.cif,1
236950.cif,1
423654.cif,1
154215.cif,0
104810.cif,1
86139.cif,0
400894.cif,1
33562.cif,0
431244.cif,0
94738.cif,1
260151.cif,0
254783.cif,0
94379.cif,1
80352.cif,0
107322.cif,1
44975.cif,1
674573.cif,1
42928.cif,1
185669.cif,0
82982.cif,1
291589.cif,0
624600.cif,1
198713.cif,1
1531.cif,0
99059.cif,1
2511.cif,0
432548.cif,1
290966.cif,0
614066.cif,1
163109.cif,0
605157.cif,1
675913.cif,0
408112.cif,0
630258.cif,1
27863.cif,1
168326.cif,1
43292.cif,1
652928.cif,1
649882.cif,1
417479.cif,0
58788.cif,1
241177.cif,0
93899.cif,1
616692.cif,1
413536.cif,1
291610.cif,0
672543.cif,1
162087.cif,0
15904.cif,1
65445.cif,0
110096.cif,0
58630.cif,1
2096.cif,0
57600.cif,1
108187.cif,1
636398.cif,1
648669.cif,1
404439.cif,0
280817.cif,1
425119.cif,0
645296.cif,1
380103.cif,0
82111.cif,0
659961.cif,1
427509.cif,0
47100.cif,0
260903.cif,1
629305.cif,1
74963.cif,0
627148.cif,1
86164.cif,1
237418.cif,1
164019.cif,0
50177.cif,0
649647.cif,1
252581.cif,0
415462.cif,0
415335.cif,0
423520.cif,0
424738.cif,0
50188.cif,1
50705.cif,0
670207.cif,0
66117.cif,1
76236.cif,1
79796.cif,1
169123.cif,0
638143.cif,1
615126.cif,1
106074.cif,1
422759.cif,1
658582.cif,1
637307.cif,1
638956.cif,1
163600.cif,0
107497.cif,0
20196.cif,0
256714.cif,0
74969.cif,0
170917.cif,0
601628.cif,1
186380.cif,1
247064.cif,1
671432.cif,1
244245.cif,0
162202.cif,1
30076.cif,1
248153.cif,0
264388.cif,0
422882.cif,0
200085.cif,0
104143.cif,1
4225.cif,0
183759.cif,0
2411.cif,1
108025.cif,1
251004.cif,1
2881.cif,1
405192.cif,0
643795.cif,1
99861.cif,0
39362.cif,0
156976.cif,1
427307.cif,1
80646.cif,1
37236.cif,0
628091.cif,1
653102.cif,1
425470.cif,1
20111.cif,1
73891.cif,0
85053.cif,1
674707.cif,1
629986.cif,1
600759.cif,1
10341.cif,1
16958.cif,1
639921.cif,1
200774.cif,0
67886.cif,0
72376.cif,1
43593.cif,1
62303.cif,0
23973.cif,1
237467.cif,1
253876.cif,0
62595.cif,0
3529.cif,0
672284.cif,1
418135.cif,0
110403.cif,0
649123.cif,1
248121.cif,0
45512.cif,0
154514.cif,1
254804.cif,0
609887.cif,1
56290.cif,1
619211.cif,1
631961.cif,1
639129.cif,1
61413.cif,1
100166.cif,0
2723.cif,0
63594.cif,1
65170.cif,0
43848.cif,1
648073.cif,1
408750.cif,0
195514.cif,0
33796.cif,1
673658.cif,1
629734.cif,1
81286.cif,0
65651.cif,1
639599.cif,1
423380.cif,1
632743.cif,1
50241.cif,1
603176.cif,1
188271.cif,1
611081.cif,1
659048.cif,1
65734.cif,0
155537.cif,1
402503.cif,0
89097.cif,1
620292.cif,1
650237.cif,1
192658.cif,1
249564.cif,0
902.cif,0
110612.cif,0
629285.cif,1
158163.cif,0
250810.cif,0
43011.cif,1
2976.cif,0
429172.cif,1
250523.cif,0
99198.cif,1
620064.cif,1
431532.cif,0
180121.cif,1
652417.cif,1
637673.cif,1
95690.cif,0
400887.cif,1
9044.cif,0
36607.cif,0
30657.cif,0
614125.cif,1
638710.cif,1
84109.cif,0
186501.cif,0
280478.cif,0
256985.cif,0
626393.cif,1
157335.cif,1
425710.cif,0
95449.cif,1
609012.cif,1
248620.cif,1
76719.cif,1
421923.cif,0
418977.cif,1
63500.cif,0
419542.cif,1
65245.cif,0
300175.cif,0
56495.cif,1
657445.cif,1
163118.cif,0
292070.cif,1
672958.cif,0
167561.cif,0
77846.cif,1
426084.cif,1
88870.cif,0
608170.cif,1
416193.cif,0
673363.cif,1
16683.cif,1
626969.cif,1
197173.cif,1
195527.cif,0
71390.cif,0
615173.cif,1
152640.cif,1
86100.cif,0
608418.cif,1
251685.cif,0
197874.cif,1
103397.cif,1
281531.cif,0
675419.cif,1
238930.cif,0
165822.cif,1
237381.cif,0
262221.cif,1
83734.cif,0
238705.cif,1
185882.cif,1
260835.cif,0
671490.cif,0
261905.cif,0
95735.cif,0
280247.cif,0
35133.cif,0
171970.cif,1
185891.cif,1
108413.cif,1
417564.cif,0
150498.cif,1
42411.cif,1
658522.cif,1
415492.cif,1
628499.cif,1
86319.cif,0
169392.cif,1
108777.cif,1
60534.cif,1
616387.cif,1
637396.cif,1
408195.cif,1
66872.cif,0
98521.cif,0
67553.cif,0
43015.cif,0
643934.cif,1
621627.cif,1
18207.cif,1
427001.cif,1
300168.cif,0
420818.cif,1
280347.cif,0
76274.cif,1
109143.cif,0
67277.cif,0
419383.cif,0
28085.cif,0
39572.cif,0
642250.cif,1
672690.cif,1
167481.cif,0
23405.cif,1
291198.cif,1
87203.cif,1
25603.cif,0
81544.cif,1
33281.cif,0
85408.cif,1
9249.cif,1
49568.cif,1
198903.cif,1
244141.cif,0
290391.cif,1
402773.cif,0
40823.cif,1
40831.cif,0
42963.cif,1
643091.cif,1
75023.cif,1
646603.cif,1
52453.cif,0
157720.cif,1
674988.cif,0
613557.cif,1
279574.cif,0
58369.cif,1
644169.cif,1
9362.cif,0
239572.cif,0
2788.cif,1
628189.cif,1
238935.cif,0
624007.cif,1
261239.cif,0
85291.cif,1
194904.cif,0
77385.cif,1
1824.cif,1
648792.cif,1
151296.cif,1
620581.cif,1
36157.cif,1
96595.cif,1
58153.cif,1
4489.cif,0
415140.cif,0
76824.cif,1
110029.cif,0
415594.cif,1
245564.cif,1
153358.cif,0
71039.cif,0
154585.cif,0
163060.cif,0
152388.cif,0
675025.cif,1
427511.cif,0
23642.cif,0
432269.cif,0
84299.cif,1
650665.cif,1
77742.cif,1
427052.cif,0
659760.cif,1
32541.cif,0
417565.cif,0
639882.cif,1
615249.cif,1
68911.cif,0
624713.cif,1
82873.cif,0
417667.cif,1
86771.cif,0
600679.cif,1
180008.cif,1
281776.cif,0
10107.cif,0
110465.cif,0
187588.cif,1
602104.cif,1
53089.cif,1
617003.cif,1
99040.cif,0
260594.cif,0
280447.cif,1
418015.cif,1
104842.cif,1
647823.cif,1
418533.cif,0
421193.cif,1
409496.cif,0
108368.cif,1
160215.cif,0
280981.cif,0
50671.cif,0
600405.cif,1
424321.cif,1
38109.cif,0
86038.cif,1
68752.cif,0
602870.cif,1
412259.cif,0
36216.cif,0
29536.cif,0
633660.cif,1
18147.cif,0
28478.cif,1
79261.cif,0
9387.cif,0
291966.cif,1
262895.cif,0
412223.cif,0
96561.cif,0
263820.cif,0
22122.cif,1
244355.cif,0
247819.cif,0
424130.cif,0
167185.cif,0
170733.cif,0
622257.cif,1
14349.cif,1
50510.cif,0
614353.cif,1
649238.cif,1
409391.cif,0
151269.cif,0
635659.cif,1
151455.cif,0
87965.cif,0
428519.cif,0
86292.cif,1
672513.cif,1
189061.cif,0
616034.cif,1
658808.cif,1
200980.cif,0
415579.cif,1
240334.cif,1
253467.cif,1
418257.cif,0
627942.cif,1
9908.cif,0
249893.cif,1
155117.cif,1
259184.cif,1
109207.cif,1
240711.cif,1
87462.cif,0
248799.cif,0
55507.cif,1
674999.cif,0
433322.cif,0
81567.cif,0
91064.cif,1
623247.cif,1
89638.cif,0
236977.cif,1
35219.cif,1
85853.cif,1
58636.cif,1
612432.cif,1
600968.cif,1
78351.cif,0
431106.cif,0
154613.cif,1
49522.cif,0
75405.cif,1
673709.cif,1
262902.cif,1
105389.cif,1
80516.cif,1
23334.cif,1
649222.cif,1
612154.cif,1
191536.cif,1
60650.cif,1
61069.cif,1
616881.cif,1
85133.cif,1
658851.cif,1
670800.cif,1
9561.cif,0
56028.cif,1
8288.cif,0
607458.cif,1
630961.cif,1
410318.cif,1
88589.cif,0
91.cif,0
641723.cif,1
672135.cif,1
670337.cif,1
82720.cif,0
107250.cif,1
200035.cif,0
74169.cif,1
427585.cif,0
638441.cif,1
100400.cif,1
53254.cif,1
65953.cif,0
623810.cif,1
647115.cif,1
605116.cif,1
257986.cif,1
186187.cif,1
39501.cif,0
249859.cif,0
416639.cif,0
152757.cif,0
613040.cif,1
57191.cif,1
413559.cif,1
26737.cif,1
261844.cif,1
39308.cif,1
76360.cif,1
35191.cif,0
55885.cif,1
89677.cif,0
31982.cif,1
249197.cif,0
676308.cif,1
55062.cif,0
93649.cif,1
190810.cif,1
609247.cif,1
59327.cif,0
628213.cif,1
95919.cif,0
281588.cif,0
72486.cif,0
420485.cif,1
56694.cif,1
43844.cif,1
202860.cif,1
94392.cif,1
9340.cif,1
23184.cif,0
670371.cif,1
200221.cif,0
86156.cif,0
168513.cif,0
612096.cif,1
53039.cif,1
634949.cif,1
637383.cif,1
174267.cif,1
160770.cif,0
155326.cif,1
90926.cif,0
404497.cif,0
635572.cif,1
420417.cif,1
88458.cif,0
237924.cif,1
76972.cif,1
670323.cif,1
49591.cif,0
412422.cif,1
15791.cif,0
1810.cif,1
105340.cif,1
181326.cif,0
6016.cif,1
104362.cif,1
9096.cif,0
626345.cif,1
52178.cif,1
109243.cif,1
462.cif,0
629861.cif,1
238328.cif,0
601620.cif,1
633212.cif,1
652481.cif,1
651670.cif,1
24103.cif,0
637609.cif,1
412784.cif,0
615913.cif,0
93794.cif,0
58646.cif,1
410740.cif,1
197880.cif,1
411835.cif,0
25028.cif,0
171334.cif,0
69062.cif,1
15857.cif,0
672858.cif,1
671389.cif,1
611618.cif,1
57914.cif,1
63053.cif,1
431430.cif,0
650597.cif,1
244990.cif,0
9149.cif,0
250262.cif,0
254270.cif,0
53422.cif,1
84678.cif,0
673660.cif,1
248229.cif,0
606237.cif,1
641687.cif,1
38304.cif,0
412408.cif,0
21048.cif,0
676054.cif,1
670038.cif,0
97377.cif,1
420037.cif,0
67523.cif,0
647869.cif,1
261119.cif,0
8055.cif,1
250498.cif,0
617815.cif,1
93829.cif,0
910.cif,1
242093.cif,0
632827.cif,1
163365.cif,1
174299.cif,1
44392.cif,1
61017.cif,1
672644.cif,1
670261.cif,1
87779.cif,0
102076.cif,1
186517.cif,0
629812.cif,1
263613.cif,0
88947.cif,0
15757.cif,1
248243.cif,1
77977.cif,1
94981.cif,0
642448.cif,1
16395.cif,1
247738.cif,0
280309.cif,0
71229.cif,0
20317.cif,1
248108.cif,0
612451.cif,1
671083.cif,1
422059.cif,1
150447.cif,0
151696.cif,0
602558.cif,1
672034.cif,1
2802.cif,0
243519.cif,1
637801.cif,1
193964.cif,0
174305.cif,1
98626.cif,0
238028.cif,1
42314.cif,1
603911.cif,1
421179.cif,1
20165.cif,1
621105.cif,1
248717.cif,0
57059.cif,1
98385.cif,0
280031.cif,0
422686.cif,1
675019.cif,1
412100.cif,1
626352.cif,1
408596.cif,1
152490.cif,1
79893.cif,0
183382.cif,0
41191.cif,0
107421.cif,1
43381.cif,1
33943.cif,0
87398.cif,1
409608.cif,0
2421.cif,1
28598.cif,1
157389.cif,1
80168.cif,0
182405.cif,1
635647.cif,1
73874.cif,0
197584.cif,1
614714.cif,1
290868.cif,0
105866.cif,1
190801.cif,1
104197.cif,1
617978.cif,1
630672.cif,1
44548.cif,1
93436.cif,1
418259.cif,0
10337.cif,0
73023.cif,1
414581.cif,0
182404.cif,1
69072.cif,0
262629.cif,0
162770.cif,0
44769.cif,1
20121.cif,0
200477.cif,0
248686.cif,0
43842.cif,1
300214.cif,0
614641.cif,1
27284.cif,1
197272.cif,1
32522.cif,0
161715.cif,1
75557.cif,0
656403.cif,1
431084.cif,0
675023.cif,1
72282.cif,0
262070.cif,1
2424.cif,0
32637.cif,0
256820.cif,0
67547.cif,0
239239.cif,0
9106.cif,1
110226.cif,1
429359.cif,1
174543.cif,0
58934.cif,1
23353.cif,1
1969.cif,0
26860.cif,0
91496.cif,0
107094.cif,1
72923.cif,0
391229.cif,1
265571.cif,1
425114.cif,0
620735.cif,1
418250.cif,0
68066.cif,0
245503.cif,0
182897.cif,0
61340.cif,1
73666.cif,1
416690.cif,1
425948.cif,0
40962.cif,1
193887.cif,1
202826.cif,1
80274.cif,1
420494.cif,0
411186.cif,1
96212.cif,1
91682.cif,0
31662.cif,1
51140.cif,0
649420.cif,1
710018.cif,0
674134.cif,0
262897.cif,1
609088.cif,1
8194.cif,1
74697.cif,1
614469.cif,1
639770.cif,1
106971.cif,1
651828.cif,1
380309.cif,0
10000.cif,1
411119.cif,0
51137.cif,0
601565.cif,1
164598.cif,1
409722.cif,0
61686.cif,1
85411.cif,0
52500.cif,1
109793.cif,0
194226.cif,0
60622.cif,1
168956.cif,1
59377.cif,1
409484.cif,0
612138.cif,1
607970.cif,1
6108.cif,0
94229.cif,0
417139.cif,1
625660.cif,1
104841.cif,1
55509.cif,1
646490.cif,1
651099.cif,1
639447.cif,1
291397.cif,0
27150.cif,1
249654.cif,0
77234.cif,1
413018.cif,0
417484.cif,0
244766.cif,0
643390.cif,1
201216.cif,0
20426.cif,0
52772.cif,1
265267.cif,0
105171.cif,1
181935.cif,1
4909.cif,0
58525.cif,1
637747.cif,1
168450.cif,1
236264.cif,1
605837.cif,1
67552.cif,0
59501.cif,1
105020.cif,1
62280.cif,0
621834.cif,1
262561.cif,1
673487.cif,0
675815.cif,1
66938.cif,0
673734.cif,1
82025.cif,0
65247.cif,0
263114.cif,0
37212.cif,0
41800.cif,1
603654.cif,1
40905.cif,1
158514.cif,0
416883.cif,0
420828.cif,0
105322.cif,1
171323.cif,1
648776.cif,1
626144.cif,1
613200.cif,1
260240.cif,1
674220.cif,0
79590.cif,1
264078.cif,0
191628.cif,0
90592.cif,1
633332.cif,1
630873.cif,1
59131.cif,0
603150.cif,1
260993.cif,1
75930.cif,0
85306.cif,1
193223.cif,1
639641.cif,1
429638.cif,1
65814.cif,1
236372.cif,0
200415.cif,0
71998.cif,1
674875.cif,0
637724.cif,1
634260.cif,1
401833.cif,0
99451.cif,1
606896.cif,1
80582.cif,0
290306.cif,1
28176.cif,0
670053.cif,1
167182.cif,1
201196.cif,0
260946.cif,0
166589.cif,0
620075.cif,1
85910.cif,1
245775.cif,0
249155.cif,0
91339.cif,1
625941.cif,1
93362.cif,1
657265.cif,1
646593.cif,1
250745.cif,0
164630.cif,1
30119.cif,0
614534.cif,1
415009.cif,0
403016.cif,0
23171.cif,0
96759.cif,1
257759.cif,1
670387.cif,1
80564.cif,0
33547.cif,0
420974.cif,1
71619.cif,1
197054.cif,1
244121.cif,0
419357.cif,1
423831.cif,1
646845.cif,1
400162.cif,0
638753.cif,1
289993.cif,0
41791.cif,1
651752.cif,1
69592.cif,0
40282.cif,1
419125.cif,0
1142.cif,0
171147.cif,0
156998.cif,1
39360.cif,1
201441.cif,1
100437.cif,1
56425.cif,0
603667.cif,1
655142.cif,1
646283.cif,1
637415.cif,1
164920.cif,0
93064.cif,0
429013.cif,0
107984.cif,1
76764.cif,0
602561.cif,1
33856.cif,0
79579.cif,1
172522.cif,0
248869.cif,0
280898.cif,0
411457.cif,1
674767.cif,1
10016.cif,1
416821.cif,1
408445.cif,0
675947.cif,1
35030.cif,0
254626.cif,0
635499.cif,1
167139.cif,0
419835.cif,0
239429.cif,1
425799.cif,1
612475.cif,1
50496.cif,1
195742.cif,1
83744.cif,1
261431.cif,0
75274.cif,0
52488.cif,1
58737.cif,1
8188.cif,0
79980.cif,1
103985.cif,1
420245.cif,1
5084.cif,0
238181.cif,0
609416.cif,1
647332.cif,1
281436.cif,0
265501.cif,0
103748.cif,1
426614.cif,1
648658.cif,1
238573.cif,0
81857.cif,0
615646.cif,1
3460.cif,0
630606.cif,1
151884.cif,0
424344.cif,0
642075.cif,1
85585.cif,0
50627.cif,0
246479.cif,0
160474.cif,1
57034.cif,1
239060.cif,1
419257.cif,0
10187.cif,0
260953.cif,0
424322.cif,1
89000.cif,1
633102.cif,1
77393.cif,1
40247.cif,0
59123.cif,0
52694.cif,1
74947.cif,0
602023.cif,1
